Review_ID,Student_ID,Course_ID,Mentor_ID,Review_Text,Course_Name,Mentor_Name,Engagement,Difficulty,Relevance,Expertise,Processed_Review
R166,S114,C002,M004,"The course was okay, but could use more real-world examples.",Data Science Fundamentals,Mr. L. Das,Low,Easy,Medium,Beginner,course okay could use realworld example
R167,S118,C005,M002,I didn’t learn as much as I expected.,Deep Learning Advanced,Prof. S. Mehta,Medium,Difficult,High,Intermediate,didnt learn much expected
R168,S143,C003,M001,"Too theoretical, needs more practical examples.",Web Development,Dr. A. Kumar,Low,Moderate,High,Expert,theoretical need practical example
R169,S112,C002,M005,"Content was decent, not too exciting though.",Data Science Fundamentals,Dr. V. Rao,High,Moderate,Low,Expert,content decent exciting though
R170,S134,C002,M004,The course content was very informative and the mentor explained clearly.,Data Science Fundamentals,Mr. L. Das,Medium,Moderate,Medium,Beginner,course content informative mentor explained clearly
R171,S121,C005,M005,Loved the examples and the mentor’s expertise really shows.,Deep Learning Advanced,Dr. V. Rao,Low,Easy,Low,Expert,loved example mentor expertise really show
R172,S106,C003,M004,Mentor was very supportive and responded quickly.,Web Development,Mr. L. Das,High,Moderate,Medium,Beginner,mentor supportive responded quickly
R173,S114,C005,M001,Very basic and not engaging enough.,Deep Learning Advanced,Dr. A. Kumar,Medium,Moderate,Low,Expert,basic engaging enough
R174,S143,C003,M001,"Good, but not much interaction from the mentor.",Web Development,Dr. A. Kumar,Low,Moderate,High,Expert,good much interaction mentor
R175,S114,C002,M003,The course content was very informative and the mentor explained clearly.,Data Science Fundamentals,Ms. R. Sharma,Medium,Moderate,Low,Expert,course content informative mentor explained clearly
R176,S112,C002,M004,Highly recommended! The course structure is great.,Data Science Fundamentals,Mr. L. Das,High,Difficult,Low,Beginner,highly recommended course structure great
R177,S123,C001,M004,"Too theoretical, needs more practical examples.",Python for Beginners,Mr. L. Das,High,Easy,Medium,Beginner,theoretical need practical example
R178,S121,C005,M004,Highly recommended! The course structure is great.,Deep Learning Advanced,Mr. L. Das,High,Moderate,High,Beginner,highly recommended course structure great
R179,S126,C001,M003,Very basic and not engaging enough.,Python for Beginners,Ms. R. Sharma,Low,Difficult,Medium,Expert,basic engaging enough
R180,S107,C002,M004,I didn’t learn as much as I expected.,Data Science Fundamentals,Mr. L. Das,High,Moderate,High,Beginner,didnt learn much expected
R181,S148,C003,M002,Highly recommended! The course structure is great.,Web Development,Prof. S. Mehta,Medium,Easy,Low,Intermediate,highly recommended course structure great
R182,S113,C003,M003,The course lacked structure and was hard to follow.,Web Development,Ms. R. Sharma,High,Difficult,Low,Expert,course lacked structure hard follow
R183,S113,C002,M005,The course content was very informative and the mentor explained clearly.,Data Science Fundamentals,Dr. V. Rao,Low,Difficult,Low,Expert,course content informative mentor explained clearly
R184,S137,C005,M004,Highly recommended! The course structure is great.,Deep Learning Advanced,Mr. L. Das,High,Difficult,High,Beginner,highly recommended course structure great
R185,S141,C003,M002,"Too theoretical, needs more practical examples.",Web Development,Prof. S. Mehta,Medium,Easy,Medium,Intermediate,theoretical need practical example
R186,S138,C001,M003,"Content was decent, not too exciting though.",Python for Beginners,Ms. R. Sharma,High,Easy,Medium,Expert,content decent exciting though
R187,S124,C003,M001,"Some topics were covered in depth, others were rushed.",Web Development,Dr. A. Kumar,High,Easy,High,Expert,topic covered depth others rushed
R188,S138,C005,M001,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Dr. A. Kumar,Medium,Difficult,High,Expert,theoretical need practical example
R189,S133,C002,M001,Loved the examples and the mentor’s expertise really shows.,Data Science Fundamentals,Dr. A. Kumar,Medium,Easy,Medium,Expert,loved example mentor expertise really show
R190,S112,C001,M002,The course lacked structure and was hard to follow.,Python for Beginners,Prof. S. Mehta,High,Moderate,Medium,Intermediate,course lacked structure hard follow
R191,S124,C003,M003,"Too theoretical, needs more practical examples.",Web Development,Ms. R. Sharma,Medium,Moderate,Medium,Expert,theoretical need practical example
R192,S141,C003,M001,"Too theoretical, needs more practical examples.",Web Development,Dr. A. Kumar,Medium,Easy,High,Expert,theoretical need practical example
R193,S147,C005,M002,Very basic and not engaging enough.,Deep Learning Advanced,Prof. S. Mehta,Medium,Easy,High,Intermediate,basic engaging enough
R194,S120,C004,M002,Mentor did not respond to questions effectively.,Machine Learning Basics,Prof. S. Mehta,High,Difficult,Low,Intermediate,mentor respond question effectively
R195,S122,C002,M005,"Good, but not much interaction from the mentor.",Data Science Fundamentals,Dr. V. Rao,Low,Difficult,High,Expert,good much interaction mentor
R196,S124,C003,M002,"Good, but not much interaction from the mentor.",Web Development,Prof. S. Mehta,Low,Moderate,Medium,Intermediate,good much interaction mentor
R197,S110,C001,M003,Excellent teaching style and very interactive sessions.,Python for Beginners,Ms. R. Sharma,Low,Difficult,High,Expert,excellent teaching style interactive session
R198,S122,C005,M002,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Prof. S. Mehta,High,Moderate,Low,Intermediate,theoretical need practical example
R199,S150,C005,M002,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Prof. S. Mehta,High,Moderate,Low,Intermediate,excellent teaching style interactive session
R200,S116,C004,M005,"Content was decent, not too exciting though.",Machine Learning Basics,Dr. V. Rao,Medium,Difficult,Medium,Expert,content decent exciting though
R201,S131,C002,M003,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Ms. R. Sharma,High,Difficult,Medium,Expert,mentor supportive responded quickly
R202,S133,C005,M004,"Content was decent, not too exciting though.",Deep Learning Advanced,Mr. L. Das,Low,Easy,High,Beginner,content decent exciting though
R203,S131,C003,M005,Loved the examples and the mentor’s expertise really shows.,Web Development,Dr. V. Rao,Low,Difficult,High,Expert,loved example mentor expertise really show
R204,S111,C003,M004,Loved the examples and the mentor’s expertise really shows.,Web Development,Mr. L. Das,High,Easy,Medium,Beginner,loved example mentor expertise really show
R205,S123,C001,M004,Excellent teaching style and very interactive sessions.,Python for Beginners,Mr. L. Das,Low,Moderate,High,Beginner,excellent teaching style interactive session
R206,S106,C003,M002,Mentor explained well but the pace was a bit slow.,Web Development,Prof. S. Mehta,Low,Moderate,Low,Intermediate,mentor explained well pace bit slow
R207,S109,C001,M003,I didn’t learn as much as I expected.,Python for Beginners,Ms. R. Sharma,Medium,Difficult,Low,Expert,didnt learn much expected
R208,S101,C001,M001,Very basic and not engaging enough.,Python for Beginners,Dr. A. Kumar,Medium,Easy,Low,Expert,basic engaging enough
R209,S108,C003,M002,"Too theoretical, needs more practical examples.",Web Development,Prof. S. Mehta,Medium,Easy,Low,Intermediate,theoretical need practical example
R210,S140,C004,M001,Highly recommended! The course structure is great.,Machine Learning Basics,Dr. A. Kumar,Low,Moderate,High,Expert,highly recommended course structure great
R211,S137,C002,M002,The course lacked structure and was hard to follow.,Data Science Fundamentals,Prof. S. Mehta,Medium,Moderate,Low,Intermediate,course lacked structure hard follow
R212,S127,C002,M001,I didn’t learn as much as I expected.,Data Science Fundamentals,Dr. A. Kumar,High,Moderate,Low,Expert,didnt learn much expected
R213,S133,C005,M001,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Dr. A. Kumar,Medium,Moderate,Low,Expert,theoretical need practical example
R214,S117,C001,M003,Very basic and not engaging enough.,Python for Beginners,Ms. R. Sharma,Low,Moderate,Low,Expert,basic engaging enough
R215,S148,C003,M002,The course lacked structure and was hard to follow.,Web Development,Prof. S. Mehta,Low,Moderate,High,Intermediate,course lacked structure hard follow
R216,S144,C004,M004,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Mr. L. Das,High,Easy,Low,Beginner,mentor explained well pace bit slow
R217,S113,C001,M002,Highly recommended! The course structure is great.,Python for Beginners,Prof. S. Mehta,Low,Moderate,Medium,Intermediate,highly recommended course structure great
R218,S135,C004,M003,Very basic and not engaging enough.,Machine Learning Basics,Ms. R. Sharma,Low,Difficult,Low,Expert,basic engaging enough
R219,S104,C003,M003,"Content was decent, not too exciting though.",Web Development,Ms. R. Sharma,Low,Moderate,Medium,Expert,content decent exciting though
R220,S125,C003,M002,"Some topics were covered in depth, others were rushed.",Web Development,Prof. S. Mehta,Medium,Difficult,Medium,Intermediate,topic covered depth others rushed
R221,S106,C004,M001,"Good, but not much interaction from the mentor.",Machine Learning Basics,Dr. A. Kumar,Medium,Difficult,Low,Expert,good much interaction mentor
R222,S106,C003,M003,I didn’t learn as much as I expected.,Web Development,Ms. R. Sharma,Medium,Moderate,High,Expert,didnt learn much expected
R223,S129,C003,M004,Very basic and not engaging enough.,Web Development,Mr. L. Das,Low,Difficult,Medium,Beginner,basic engaging enough
R224,S104,C001,M004,Very basic and not engaging enough.,Python for Beginners,Mr. L. Das,Medium,Difficult,High,Beginner,basic engaging enough
R225,S110,C005,M004,Mentor did not respond to questions effectively.,Deep Learning Advanced,Mr. L. Das,Low,Easy,Low,Beginner,mentor respond question effectively
R226,S137,C001,M005,Loved the examples and the mentor’s expertise really shows.,Python for Beginners,Dr. V. Rao,Low,Difficult,Medium,Expert,loved example mentor expertise really show
R227,S105,C005,M002,"Content was decent, not too exciting though.",Deep Learning Advanced,Prof. S. Mehta,High,Moderate,Medium,Intermediate,content decent exciting though
R228,S108,C001,M002,"Content was decent, not too exciting though.",Python for Beginners,Prof. S. Mehta,Medium,Difficult,Medium,Intermediate,content decent exciting though
R229,S117,C004,M002,The course lacked structure and was hard to follow.,Machine Learning Basics,Prof. S. Mehta,High,Moderate,High,Intermediate,course lacked structure hard follow
R230,S105,C004,M002,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Prof. S. Mehta,High,Moderate,Low,Intermediate,mentor explained well pace bit slow
R231,S146,C001,M005,I didn’t learn as much as I expected.,Python for Beginners,Dr. V. Rao,High,Moderate,Medium,Expert,didnt learn much expected
R232,S133,C002,M001,Excellent teaching style and very interactive sessions.,Data Science Fundamentals,Dr. A. Kumar,Low,Easy,Low,Expert,excellent teaching style interactive session
R233,S137,C003,M004,"The course was okay, but could use more real-world examples.",Web Development,Mr. L. Das,High,Easy,High,Beginner,course okay could use realworld example
R234,S146,C004,M005,The course content was very informative and the mentor explained clearly.,Machine Learning Basics,Dr. V. Rao,Medium,Moderate,High,Expert,course content informative mentor explained clearly
R235,S142,C001,M004,Excellent teaching style and very interactive sessions.,Python for Beginners,Mr. L. Das,Medium,Difficult,High,Beginner,excellent teaching style interactive session
R236,S150,C005,M005,Mentor explained well but the pace was a bit slow.,Deep Learning Advanced,Dr. V. Rao,Low,Easy,Medium,Expert,mentor explained well pace bit slow
R237,S134,C002,M003,The course lacked structure and was hard to follow.,Data Science Fundamentals,Ms. R. Sharma,Low,Easy,Medium,Expert,course lacked structure hard follow
R238,S134,C003,M001,Mentor did not respond to questions effectively.,Web Development,Dr. A. Kumar,Medium,Easy,High,Expert,mentor respond question effectively
R239,S120,C005,M005,I didn’t learn as much as I expected.,Deep Learning Advanced,Dr. V. Rao,Low,Difficult,High,Expert,didnt learn much expected
R240,S110,C002,M005,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Dr. V. Rao,High,Difficult,Medium,Expert,mentor supportive responded quickly
R241,S102,C001,M001,The course lacked structure and was hard to follow.,Python for Beginners,Dr. A. Kumar,High,Difficult,Medium,Expert,course lacked structure hard follow
R242,S127,C005,M001,Mentor did not respond to questions effectively.,Deep Learning Advanced,Dr. A. Kumar,Medium,Difficult,High,Expert,mentor respond question effectively
R243,S144,C004,M003,"Content was decent, not too exciting though.",Machine Learning Basics,Ms. R. Sharma,Medium,Easy,High,Expert,content decent exciting though
R244,S131,C004,M002,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Prof. S. Mehta,Medium,Difficult,Low,Intermediate,excellent teaching style interactive session
R245,S123,C004,M002,"Content was decent, not too exciting though.",Machine Learning Basics,Prof. S. Mehta,Medium,Difficult,High,Intermediate,content decent exciting though
R246,S108,C003,M004,Loved the examples and the mentor’s expertise really shows.,Web Development,Mr. L. Das,Low,Easy,Low,Beginner,loved example mentor expertise really show
R247,S140,C004,M002,Loved the examples and the mentor’s expertise really shows.,Machine Learning Basics,Prof. S. Mehta,Low,Moderate,High,Intermediate,loved example mentor expertise really show
R248,S111,C004,M005,I didn’t learn as much as I expected.,Machine Learning Basics,Dr. V. Rao,Medium,Moderate,Medium,Expert,didnt learn much expected
R249,S126,C005,M004,"The course was okay, but could use more real-world examples.",Deep Learning Advanced,Mr. L. Das,Low,Easy,High,Beginner,course okay could use realworld example
R250,S132,C005,M004,"The course was okay, but could use more real-world examples.",Deep Learning Advanced,Mr. L. Das,Medium,Difficult,Low,Beginner,course okay could use realworld example
R251,S117,C003,M004,Highly recommended! The course structure is great.,Web Development,Mr. L. Das,Medium,Easy,Medium,Beginner,highly recommended course structure great
R252,S124,C005,M003,Mentor was very supportive and responded quickly.,Deep Learning Advanced,Ms. R. Sharma,Low,Moderate,High,Expert,mentor supportive responded quickly
R253,S140,C005,M001,"Good, but not much interaction from the mentor.",Deep Learning Advanced,Dr. A. Kumar,Low,Easy,Medium,Expert,good much interaction mentor
R254,S124,C002,M002,"Content was decent, not too exciting though.",Data Science Fundamentals,Prof. S. Mehta,High,Difficult,Medium,Intermediate,content decent exciting though
R255,S109,C003,M004,The course lacked structure and was hard to follow.,Web Development,Mr. L. Das,High,Moderate,Low,Beginner,course lacked structure hard follow
R256,S140,C003,M002,"Too theoretical, needs more practical examples.",Web Development,Prof. S. Mehta,Medium,Difficult,High,Intermediate,theoretical need practical example
R257,S133,C005,M004,"Good, but not much interaction from the mentor.",Deep Learning Advanced,Mr. L. Das,High,Difficult,Medium,Beginner,good much interaction mentor
R258,S144,C001,M004,"The course was okay, but could use more real-world examples.",Python for Beginners,Mr. L. Das,High,Moderate,High,Beginner,course okay could use realworld example
R259,S117,C005,M005,The course lacked structure and was hard to follow.,Deep Learning Advanced,Dr. V. Rao,Low,Difficult,Low,Expert,course lacked structure hard follow
R260,S141,C005,M004,Very basic and not engaging enough.,Deep Learning Advanced,Mr. L. Das,Low,Difficult,Low,Beginner,basic engaging enough
R261,S108,C002,M001,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Dr. A. Kumar,Medium,Moderate,Medium,Expert,mentor supportive responded quickly
R262,S127,C005,M005,Highly recommended! The course structure is great.,Deep Learning Advanced,Dr. V. Rao,Medium,Difficult,High,Expert,highly recommended course structure great
R263,S136,C003,M004,Excellent teaching style and very interactive sessions.,Web Development,Mr. L. Das,High,Moderate,Medium,Beginner,excellent teaching style interactive session
R264,S122,C005,M003,Highly recommended! The course structure is great.,Deep Learning Advanced,Ms. R. Sharma,High,Difficult,High,Expert,highly recommended course structure great
R265,S113,C002,M003,I didn’t learn as much as I expected.,Data Science Fundamentals,Ms. R. Sharma,High,Moderate,Low,Expert,didnt learn much expected
R266,S145,C004,M003,"Content was decent, not too exciting though.",Machine Learning Basics,Ms. R. Sharma,Medium,Moderate,High,Expert,content decent exciting though
R267,S137,C005,M004,I didn’t learn as much as I expected.,Deep Learning Advanced,Mr. L. Das,Medium,Moderate,Low,Beginner,didnt learn much expected
R268,S146,C001,M003,"The course was okay, but could use more real-world examples.",Python for Beginners,Ms. R. Sharma,Medium,Difficult,Medium,Expert,course okay could use realworld example
R269,S135,C003,M005,Very basic and not engaging enough.,Web Development,Dr. V. Rao,High,Moderate,Low,Expert,basic engaging enough
R270,S116,C002,M001,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Dr. A. Kumar,High,Difficult,Low,Expert,mentor supportive responded quickly
R271,S127,C003,M004,Mentor did not respond to questions effectively.,Web Development,Mr. L. Das,Low,Difficult,Low,Beginner,mentor respond question effectively
R272,S111,C004,M004,Mentor was very supportive and responded quickly.,Machine Learning Basics,Mr. L. Das,Medium,Difficult,Low,Beginner,mentor supportive responded quickly
R273,S104,C001,M005,"Content was decent, not too exciting though.",Python for Beginners,Dr. V. Rao,Low,Difficult,High,Expert,content decent exciting though
R274,S112,C004,M002,The course lacked structure and was hard to follow.,Machine Learning Basics,Prof. S. Mehta,Low,Moderate,Medium,Intermediate,course lacked structure hard follow
R275,S101,C003,M005,Loved the examples and the mentor’s expertise really shows.,Web Development,Dr. V. Rao,High,Easy,Medium,Expert,loved example mentor expertise really show
R276,S135,C005,M004,"Some topics were covered in depth, others were rushed.",Deep Learning Advanced,Mr. L. Das,Low,Difficult,Medium,Beginner,topic covered depth others rushed
R277,S122,C002,M004,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Mr. L. Das,High,Moderate,High,Beginner,mentor explained well pace bit slow
R278,S119,C005,M002,The course content was very informative and the mentor explained clearly.,Deep Learning Advanced,Prof. S. Mehta,Low,Difficult,High,Intermediate,course content informative mentor explained clearly
R279,S106,C004,M001,"Some topics were covered in depth, others were rushed.",Machine Learning Basics,Dr. A. Kumar,Low,Easy,Medium,Expert,topic covered depth others rushed
R280,S125,C002,M004,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Mr. L. Das,Medium,Moderate,Medium,Beginner,mentor explained well pace bit slow
R281,S142,C003,M002,"Too theoretical, needs more practical examples.",Web Development,Prof. S. Mehta,Low,Difficult,Low,Intermediate,theoretical need practical example
R282,S144,C005,M003,"Content was decent, not too exciting though.",Deep Learning Advanced,Ms. R. Sharma,High,Easy,High,Expert,content decent exciting though
R283,S115,C002,M004,"Content was decent, not too exciting though.",Data Science Fundamentals,Mr. L. Das,Low,Moderate,High,Beginner,content decent exciting though
R284,S136,C004,M005,I didn’t learn as much as I expected.,Machine Learning Basics,Dr. V. Rao,High,Easy,Low,Expert,didnt learn much expected
R285,S106,C005,M004,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Mr. L. Das,High,Difficult,Medium,Beginner,theoretical need practical example
R286,S136,C005,M002,Mentor was very supportive and responded quickly.,Deep Learning Advanced,Prof. S. Mehta,High,Difficult,Low,Intermediate,mentor supportive responded quickly
R287,S129,C001,M002,Loved the examples and the mentor’s expertise really shows.,Python for Beginners,Prof. S. Mehta,High,Difficult,Medium,Intermediate,loved example mentor expertise really show
R288,S104,C004,M002,Mentor was very supportive and responded quickly.,Machine Learning Basics,Prof. S. Mehta,High,Moderate,Medium,Intermediate,mentor supportive responded quickly
R289,S144,C003,M001,The course lacked structure and was hard to follow.,Web Development,Dr. A. Kumar,Medium,Moderate,Low,Expert,course lacked structure hard follow
R290,S103,C004,M003,Mentor did not respond to questions effectively.,Machine Learning Basics,Ms. R. Sharma,High,Easy,High,Expert,mentor respond question effectively
R291,S131,C001,M003,The course content was very informative and the mentor explained clearly.,Python for Beginners,Ms. R. Sharma,Medium,Easy,Low,Expert,course content informative mentor explained clearly
R292,S125,C004,M004,Very basic and not engaging enough.,Machine Learning Basics,Mr. L. Das,Medium,Easy,High,Beginner,basic engaging enough
R293,S123,C001,M002,"Too theoretical, needs more practical examples.",Python for Beginners,Prof. S. Mehta,High,Moderate,High,Intermediate,theoretical need practical example
R294,S149,C001,M003,Excellent teaching style and very interactive sessions.,Python for Beginners,Ms. R. Sharma,Medium,Difficult,High,Expert,excellent teaching style interactive session
R295,S115,C002,M004,Very basic and not engaging enough.,Data Science Fundamentals,Mr. L. Das,Medium,Easy,Medium,Beginner,basic engaging enough
R296,S143,C004,M005,The course content was very informative and the mentor explained clearly.,Machine Learning Basics,Dr. V. Rao,Low,Easy,Low,Expert,course content informative mentor explained clearly
R297,S129,C005,M001,The course content was very informative and the mentor explained clearly.,Deep Learning Advanced,Dr. A. Kumar,Low,Difficult,Low,Expert,course content informative mentor explained clearly
R298,S114,C001,M002,"Some topics were covered in depth, others were rushed.",Python for Beginners,Prof. S. Mehta,High,Moderate,Low,Intermediate,topic covered depth others rushed
R299,S139,C003,M002,"Too theoretical, needs more practical examples.",Web Development,Prof. S. Mehta,Medium,Easy,High,Intermediate,theoretical need practical example
R300,S118,C001,M005,Mentor did not respond to questions effectively.,Python for Beginners,Dr. V. Rao,High,Difficult,Low,Expert,mentor respond question effectively
R301,S104,C003,M004,Very basic and not engaging enough.,Web Development,Mr. L. Das,High,Moderate,High,Beginner,basic engaging enough
R302,S125,C002,M005,"Some topics were covered in depth, others were rushed.",Data Science Fundamentals,Dr. V. Rao,Medium,Easy,Low,Expert,topic covered depth others rushed
R303,S104,C005,M004,Mentor explained well but the pace was a bit slow.,Deep Learning Advanced,Mr. L. Das,Medium,Difficult,High,Beginner,mentor explained well pace bit slow
R304,S114,C003,M001,Highly recommended! The course structure is great.,Web Development,Dr. A. Kumar,Medium,Moderate,Low,Expert,highly recommended course structure great
R305,S125,C005,M005,Mentor did not respond to questions effectively.,Deep Learning Advanced,Dr. V. Rao,Low,Easy,Low,Expert,mentor respond question effectively
R306,S114,C003,M003,"Too theoretical, needs more practical examples.",Web Development,Ms. R. Sharma,Low,Easy,Low,Expert,theoretical need practical example
R307,S149,C004,M002,The course lacked structure and was hard to follow.,Machine Learning Basics,Prof. S. Mehta,High,Difficult,High,Intermediate,course lacked structure hard follow
R308,S136,C003,M003,Highly recommended! The course structure is great.,Web Development,Ms. R. Sharma,Medium,Moderate,High,Expert,highly recommended course structure great
R309,S124,C005,M004,I didn’t learn as much as I expected.,Deep Learning Advanced,Mr. L. Das,Medium,Easy,High,Beginner,didnt learn much expected
R310,S124,C003,M004,"Content was decent, not too exciting though.",Web Development,Mr. L. Das,Low,Difficult,Low,Beginner,content decent exciting though
R311,S136,C005,M005,Mentor did not respond to questions effectively.,Deep Learning Advanced,Dr. V. Rao,High,Moderate,Medium,Expert,mentor respond question effectively
R312,S125,C005,M002,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Prof. S. Mehta,Medium,Difficult,High,Intermediate,excellent teaching style interactive session
R313,S132,C004,M004,I didn’t learn as much as I expected.,Machine Learning Basics,Mr. L. Das,Low,Difficult,Medium,Beginner,didnt learn much expected
R314,S132,C002,M005,Excellent teaching style and very interactive sessions.,Data Science Fundamentals,Dr. V. Rao,High,Easy,High,Expert,excellent teaching style interactive session
R315,S143,C001,M001,The course content was very informative and the mentor explained clearly.,Python for Beginners,Dr. A. Kumar,Medium,Easy,High,Expert,course content informative mentor explained clearly
R316,S101,C002,M005,The course content was very informative and the mentor explained clearly.,Data Science Fundamentals,Dr. V. Rao,Medium,Moderate,Low,Expert,course content informative mentor explained clearly
R317,S143,C004,M001,"Too theoretical, needs more practical examples.",Machine Learning Basics,Dr. A. Kumar,Low,Difficult,High,Expert,theoretical need practical example
R318,S147,C003,M005,"The course was okay, but could use more real-world examples.",Web Development,Dr. V. Rao,Medium,Easy,High,Expert,course okay could use realworld example
R319,S112,C001,M001,Very basic and not engaging enough.,Python for Beginners,Dr. A. Kumar,High,Easy,Low,Expert,basic engaging enough
R320,S123,C003,M004,Mentor was very supportive and responded quickly.,Web Development,Mr. L. Das,Low,Moderate,Medium,Beginner,mentor supportive responded quickly
R321,S145,C002,M003,"Good, but not much interaction from the mentor.",Data Science Fundamentals,Ms. R. Sharma,High,Easy,High,Expert,good much interaction mentor
R322,S125,C004,M005,The course lacked structure and was hard to follow.,Machine Learning Basics,Dr. V. Rao,Medium,Easy,High,Expert,course lacked structure hard follow
R323,S128,C003,M005,Excellent teaching style and very interactive sessions.,Web Development,Dr. V. Rao,Low,Difficult,Low,Expert,excellent teaching style interactive session
R324,S145,C005,M004,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Mr. L. Das,Medium,Easy,Low,Beginner,excellent teaching style interactive session
R325,S137,C001,M002,I didn’t learn as much as I expected.,Python for Beginners,Prof. S. Mehta,Medium,Easy,Low,Intermediate,didnt learn much expected
R326,S146,C004,M001,Mentor did not respond to questions effectively.,Machine Learning Basics,Dr. A. Kumar,Medium,Easy,High,Expert,mentor respond question effectively
R327,S125,C005,M003,Mentor was very supportive and responded quickly.,Deep Learning Advanced,Ms. R. Sharma,Medium,Difficult,Low,Expert,mentor supportive responded quickly
R328,S123,C001,M001,The course lacked structure and was hard to follow.,Python for Beginners,Dr. A. Kumar,Medium,Easy,Low,Expert,course lacked structure hard follow
R329,S139,C004,M003,"Good, but not much interaction from the mentor.",Machine Learning Basics,Ms. R. Sharma,Low,Difficult,Medium,Expert,good much interaction mentor
R330,S136,C004,M004,"Some topics were covered in depth, others were rushed.",Machine Learning Basics,Mr. L. Das,Low,Difficult,High,Beginner,topic covered depth others rushed
R331,S140,C003,M002,Very basic and not engaging enough.,Web Development,Prof. S. Mehta,High,Easy,Low,Intermediate,basic engaging enough
R332,S141,C002,M004,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Mr. L. Das,Medium,Moderate,Low,Beginner,mentor explained well pace bit slow
R333,S129,C003,M003,The course content was very informative and the mentor explained clearly.,Web Development,Ms. R. Sharma,Low,Easy,Low,Expert,course content informative mentor explained clearly
