Review_ID,Student_ID,Course_ID,Mentor_ID,Review_Text,Course_Name,Mentor_Name,Engagement,Difficulty,Relevance,Expertise
R001,S118,C002,M002,The course lacked structure and was hard to follow.,Data Science Fundamentals,Prof. S. Mehta,Low,Difficult,Low,Intermediate
R002,S128,C001,M001,"Too theoretical, needs more practical examples.",Python for Beginners,Dr. A. Kumar,Low,Easy,Low,Expert
R003,S113,C005,M004,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Mr. L. Das,Low,Moderate,High,Beginner
R004,S111,C004,M003,"The course was okay, but could use more real-world examples.",Machine Learning Basics,Ms. R. Sharma,Medium,Easy,Low,Expert
R005,S107,C003,M003,"The course was okay, but could use more real-world examples.",Web Development,Ms. R. Sharma,High,Moderate,Low,Expert
R006,S125,C001,M005,Very basic and not engaging enough.,Python for Beginners,Dr. V. Rao,Medium,Difficult,High,Expert
R007,S105,C001,M002,"Good, but not much interaction from the mentor.",Python for Beginners,Prof. S. Mehta,Medium,Easy,Low,Intermediate
R008,S141,C003,M002,Highly recommended! The course structure is great.,Web Development,Prof. S. Mehta,Medium,Moderate,Low,Intermediate
R009,S144,C001,M005,I didn’t learn as much as I expected.,Python for Beginners,Dr. V. Rao,High,Easy,High,Expert
R010,S125,C003,M005,Mentor did not respond to questions effectively.,Web Development,Dr. V. Rao,Low,Difficult,Medium,Expert
R011,S121,C004,M003,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Ms. R. Sharma,Low,Easy,High,Expert
R012,S132,C004,M004,I didn’t learn as much as I expected.,Machine Learning Basics,Mr. L. Das,Low,Moderate,Low,Beginner
R013,S148,C005,M004,Mentor was very supportive and responded quickly.,Deep Learning Advanced,Mr. L. Das,High,Moderate,Medium,Beginner
R014,S106,C001,M001,Excellent teaching style and very interactive sessions.,Python for Beginners,Dr. A. Kumar,Low,Difficult,Low,Expert
R015,S125,C004,M005,Very basic and not engaging enough.,Machine Learning Basics,Dr. V. Rao,Medium,Difficult,Medium,Expert
R016,S108,C005,M003,The course lacked structure and was hard to follow.,Deep Learning Advanced,Ms. R. Sharma,High,Moderate,Low,Expert
R017,S101,C003,M005,"Some topics were covered in depth, others were rushed.",Web Development,Dr. V. Rao,Low,Difficult,Low,Expert
R018,S133,C005,M002,I didn’t learn as much as I expected.,Deep Learning Advanced,Prof. S. Mehta,Low,Moderate,Low,Intermediate
R019,S139,C003,M004,"Too theoretical, needs more practical examples.",Web Development,Mr. L. Das,Low,Easy,Medium,Beginner
R020,S137,C001,M001,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. A. Kumar,High,Moderate,Low,Expert
R021,S131,C005,M002,Mentor did not respond to questions effectively.,Deep Learning Advanced,Prof. S. Mehta,Medium,Difficult,High,Intermediate
R022,S149,C002,M003,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Ms. R. Sharma,Medium,Difficult,High,Expert
R023,S129,C001,M002,"Some topics were covered in depth, others were rushed.",Python for Beginners,Prof. S. Mehta,Low,Easy,Medium,Intermediate
R024,S138,C002,M001,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Dr. A. Kumar,Low,Difficult,High,Expert
R025,S103,C003,M001,Excellent teaching style and very interactive sessions.,Web Development,Dr. A. Kumar,High,Easy,Medium,Expert
R026,S109,C005,M005,Very basic and not engaging enough.,Deep Learning Advanced,Dr. V. Rao,Medium,Easy,Medium,Expert
R027,S143,C004,M003,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Ms. R. Sharma,Medium,Moderate,Medium,Expert
R028,S142,C001,M001,The course lacked structure and was hard to follow.,Python for Beginners,Dr. A. Kumar,Medium,Difficult,Medium,Expert
R029,S135,C004,M002,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Prof. S. Mehta,Medium,Easy,Medium,Intermediate
R030,S105,C004,M005,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Dr. V. Rao,Low,Easy,High,Expert
R031,S149,C002,M002,The course lacked structure and was hard to follow.,Data Science Fundamentals,Prof. S. Mehta,Medium,Moderate,Medium,Intermediate
R032,S111,C004,M001,Highly recommended! The course structure is great.,Machine Learning Basics,Dr. A. Kumar,Medium,Moderate,Medium,Expert
R033,S147,C005,M004,"Some topics were covered in depth, others were rushed.",Deep Learning Advanced,Mr. L. Das,Low,Easy,Medium,Beginner
R034,S135,C001,M003,The course content was very informative and the mentor explained clearly.,Python for Beginners,Ms. R. Sharma,Low,Easy,High,Expert
R035,S134,C002,M001,"Good, but not much interaction from the mentor.",Data Science Fundamentals,Dr. A. Kumar,High,Easy,Low,Expert
R036,S116,C004,M001,Mentor was very supportive and responded quickly.,Machine Learning Basics,Dr. A. Kumar,High,Easy,High,Expert
R037,S127,C005,M005,The course lacked structure and was hard to follow.,Deep Learning Advanced,Dr. V. Rao,High,Moderate,Medium,Expert
R038,S126,C002,M003,Loved the examples and the mentor’s expertise really shows.,Data Science Fundamentals,Ms. R. Sharma,Medium,Moderate,Low,Expert
R039,S137,C001,M001,Highly recommended! The course structure is great.,Python for Beginners,Dr. A. Kumar,High,Easy,High,Expert
R040,S105,C002,M003,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Ms. R. Sharma,Medium,Easy,Medium,Expert
R041,S142,C005,M001,I didn’t learn as much as I expected.,Deep Learning Advanced,Dr. A. Kumar,High,Difficult,Medium,Expert
R042,S109,C003,M001,The course lacked structure and was hard to follow.,Web Development,Dr. A. Kumar,Low,Difficult,High,Expert
R043,S114,C003,M002,Loved the examples and the mentor’s expertise really shows.,Web Development,Prof. S. Mehta,High,Difficult,Medium,Intermediate
R044,S104,C001,M004,Very basic and not engaging enough.,Python for Beginners,Mr. L. Das,Medium,Easy,Low,Beginner
R045,S117,C002,M004,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Mr. L. Das,High,Difficult,Medium,Beginner
R046,S145,C002,M005,The course lacked structure and was hard to follow.,Data Science Fundamentals,Dr. V. Rao,Low,Moderate,High,Expert
R047,S103,C003,M003,Mentor did not respond to questions effectively.,Web Development,Ms. R. Sharma,Low,Moderate,Low,Expert
R048,S123,C005,M004,Mentor did not respond to questions effectively.,Deep Learning Advanced,Mr. L. Das,High,Difficult,Low,Beginner
R049,S112,C004,M001,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Dr. A. Kumar,Low,Difficult,Medium,Expert
R050,S145,C001,M004,Mentor explained well but the pace was a bit slow.,Python for Beginners,Mr. L. Das,Low,Moderate,Low,Beginner
R051,S115,C002,M001,Highly recommended! The course structure is great.,Data Science Fundamentals,Dr. A. Kumar,High,Easy,Medium,Expert
R052,S150,C003,M003,"Content was decent, not too exciting though.",Web Development,Ms. R. Sharma,High,Difficult,Medium,Expert
R053,S102,C001,M003,"Too theoretical, needs more practical examples.",Python for Beginners,Ms. R. Sharma,Low,Difficult,Medium,Expert
R054,S123,C003,M004,The course content was very informative and the mentor explained clearly.,Web Development,Mr. L. Das,High,Difficult,Low,Beginner
R055,S103,C004,M001,"Good, but not much interaction from the mentor.",Machine Learning Basics,Dr. A. Kumar,High,Difficult,High,Expert
R056,S105,C003,M005,Mentor did not respond to questions effectively.,Web Development,Dr. V. Rao,Medium,Difficult,Low,Expert
R057,S143,C004,M003,I didn’t learn as much as I expected.,Machine Learning Basics,Ms. R. Sharma,Medium,Difficult,Medium,Expert
R058,S143,C004,M002,Mentor did not respond to questions effectively.,Machine Learning Basics,Prof. S. Mehta,High,Difficult,Medium,Intermediate
R059,S120,C003,M002,"Good, but not much interaction from the mentor.",Web Development,Prof. S. Mehta,Medium,Difficult,High,Intermediate
R060,S129,C002,M005,I didn’t learn as much as I expected.,Data Science Fundamentals,Dr. V. Rao,Medium,Difficult,Low,Expert
R061,S143,C005,M003,The course lacked structure and was hard to follow.,Deep Learning Advanced,Ms. R. Sharma,Low,Easy,High,Expert
R062,S110,C001,M001,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. A. Kumar,Low,Moderate,High,Expert
R063,S141,C005,M002,Highly recommended! The course structure is great.,Deep Learning Advanced,Prof. S. Mehta,High,Difficult,Medium,Intermediate
R064,S142,C001,M001,"Some topics were covered in depth, others were rushed.",Python for Beginners,Dr. A. Kumar,Medium,Easy,Low,Expert
R065,S136,C002,M001,"Too theoretical, needs more practical examples.",Data Science Fundamentals,Dr. A. Kumar,Medium,Easy,Medium,Expert
R066,S139,C003,M004,"Too theoretical, needs more practical examples.",Web Development,Mr. L. Das,High,Difficult,High,Beginner
R067,S111,C004,M004,"Good, but not much interaction from the mentor.",Machine Learning Basics,Mr. L. Das,Medium,Easy,High,Beginner
R068,S116,C003,M004,"Good, but not much interaction from the mentor.",Web Development,Mr. L. Das,Low,Difficult,Medium,Beginner
R069,S135,C001,M002,Loved the examples and the mentor’s expertise really shows.,Python for Beginners,Prof. S. Mehta,Low,Easy,Medium,Intermediate
R070,S105,C004,M004,Mentor did not respond to questions effectively.,Machine Learning Basics,Mr. L. Das,Medium,Difficult,Medium,Beginner
R071,S127,C004,M005,"The course was okay, but could use more real-world examples.",Machine Learning Basics,Dr. V. Rao,High,Easy,High,Expert
R072,S123,C003,M004,"Some topics were covered in depth, others were rushed.",Web Development,Mr. L. Das,Medium,Difficult,High,Beginner
R073,S115,C004,M002,"Too theoretical, needs more practical examples.",Machine Learning Basics,Prof. S. Mehta,Medium,Moderate,Medium,Intermediate
R074,S144,C004,M002,Highly recommended! The course structure is great.,Machine Learning Basics,Prof. S. Mehta,Medium,Easy,High,Intermediate
R075,S138,C005,M001,The course lacked structure and was hard to follow.,Deep Learning Advanced,Dr. A. Kumar,Low,Difficult,Medium,Expert
R076,S117,C004,M003,Highly recommended! The course structure is great.,Machine Learning Basics,Ms. R. Sharma,Low,Moderate,Medium,Expert
R077,S127,C003,M001,"Some topics were covered in depth, others were rushed.",Web Development,Dr. A. Kumar,Medium,Easy,High,Expert
R078,S123,C002,M001,The course lacked structure and was hard to follow.,Data Science Fundamentals,Dr. A. Kumar,High,Easy,Low,Expert
R079,S140,C002,M002,Excellent teaching style and very interactive sessions.,Data Science Fundamentals,Prof. S. Mehta,Low,Moderate,High,Intermediate
R080,S130,C003,M003,Mentor was very supportive and responded quickly.,Web Development,Ms. R. Sharma,Low,Difficult,High,Expert
R081,S111,C003,M001,The course lacked structure and was hard to follow.,Web Development,Dr. A. Kumar,High,Easy,Medium,Expert
R082,S146,C002,M001,Very basic and not engaging enough.,Data Science Fundamentals,Dr. A. Kumar,High,Difficult,High,Expert
R083,S120,C005,M001,The course content was very informative and the mentor explained clearly.,Deep Learning Advanced,Dr. A. Kumar,High,Easy,Medium,Expert
R084,S105,C005,M003,Very basic and not engaging enough.,Deep Learning Advanced,Ms. R. Sharma,Low,Moderate,Medium,Expert
R085,S141,C004,M002,Highly recommended! The course structure is great.,Machine Learning Basics,Prof. S. Mehta,Medium,Easy,High,Intermediate
R086,S135,C004,M004,I didn’t learn as much as I expected.,Machine Learning Basics,Mr. L. Das,Medium,Difficult,High,Beginner
R087,S106,C003,M004,"Content was decent, not too exciting though.",Web Development,Mr. L. Das,Low,Moderate,High,Beginner
R088,S132,C003,M002,Very basic and not engaging enough.,Web Development,Prof. S. Mehta,Medium,Easy,Medium,Intermediate
R089,S139,C003,M005,"Content was decent, not too exciting though.",Web Development,Dr. V. Rao,Low,Difficult,Low,Expert
R090,S132,C005,M002,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Prof. S. Mehta,High,Moderate,High,Intermediate
R091,S102,C001,M003,Very basic and not engaging enough.,Python for Beginners,Ms. R. Sharma,Low,Moderate,High,Expert
R092,S124,C004,M005,Loved the examples and the mentor’s expertise really shows.,Machine Learning Basics,Dr. V. Rao,High,Moderate,Medium,Expert
R093,S145,C004,M003,"Too theoretical, needs more practical examples.",Machine Learning Basics,Ms. R. Sharma,Medium,Moderate,Low,Expert
R094,S148,C005,M002,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Prof. S. Mehta,Low,Easy,High,Intermediate
R095,S149,C005,M005,"Content was decent, not too exciting though.",Deep Learning Advanced,Dr. V. Rao,Medium,Easy,Low,Expert
R096,S120,C001,M005,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. V. Rao,Low,Moderate,Low,Expert
R097,S109,C004,M001,Mentor was very supportive and responded quickly.,Machine Learning Basics,Dr. A. Kumar,Low,Difficult,Medium,Expert
R098,S112,C001,M003,"Some topics were covered in depth, others were rushed.",Python for Beginners,Ms. R. Sharma,Medium,Easy,Low,Expert
R099,S141,C001,M002,"Some topics were covered in depth, others were rushed.",Python for Beginners,Prof. S. Mehta,Low,Difficult,Medium,Intermediate
R100,S149,C004,M005,Excellent teaching style and very interactive sessions.,Machine Learning Basics,Dr. V. Rao,High,Difficult,Low,Expert
R101,S129,C003,M005,Very basic and not engaging enough.,Web Development,Dr. V. Rao,Medium,Moderate,High,Expert
R102,S148,C001,M002,The course lacked structure and was hard to follow.,Python for Beginners,Prof. S. Mehta,High,Easy,Medium,Intermediate
R103,S112,C005,M001,The course lacked structure and was hard to follow.,Deep Learning Advanced,Dr. A. Kumar,Low,Easy,Medium,Expert
R104,S103,C002,M003,"Good, but not much interaction from the mentor.",Data Science Fundamentals,Ms. R. Sharma,High,Moderate,High,Expert
R105,S117,C005,M002,"The course was okay, but could use more real-world examples.",Deep Learning Advanced,Prof. S. Mehta,Medium,Easy,High,Intermediate
R106,S110,C001,M001,Excellent teaching style and very interactive sessions.,Python for Beginners,Dr. A. Kumar,Low,Moderate,High,Expert
R107,S129,C001,M004,"Too theoretical, needs more practical examples.",Python for Beginners,Mr. L. Das,High,Moderate,High,Beginner
R108,S132,C004,M001,"Content was decent, not too exciting though.",Machine Learning Basics,Dr. A. Kumar,High,Easy,Medium,Expert
R109,S102,C001,M002,I didn’t learn as much as I expected.,Python for Beginners,Prof. S. Mehta,High,Difficult,High,Intermediate
R110,S149,C002,M004,Loved the examples and the mentor’s expertise really shows.,Data Science Fundamentals,Mr. L. Das,High,Difficult,Medium,Beginner
R111,S128,C004,M001,Mentor explained well but the pace was a bit slow.,Machine Learning Basics,Dr. A. Kumar,Medium,Moderate,Medium,Expert
R112,S111,C003,M004,"Content was decent, not too exciting though.",Web Development,Mr. L. Das,High,Moderate,Medium,Beginner
R113,S136,C001,M004,Very basic and not engaging enough.,Python for Beginners,Mr. L. Das,Low,Moderate,Medium,Beginner
R114,S126,C005,M001,"The course was okay, but could use more real-world examples.",Deep Learning Advanced,Dr. A. Kumar,High,Difficult,Medium,Expert
R115,S124,C005,M004,"The course was okay, but could use more real-world examples.",Deep Learning Advanced,Mr. L. Das,High,Moderate,Low,Beginner
R116,S119,C004,M004,Loved the examples and the mentor’s expertise really shows.,Machine Learning Basics,Mr. L. Das,Low,Easy,High,Beginner
R117,S120,C005,M001,Mentor did not respond to questions effectively.,Deep Learning Advanced,Dr. A. Kumar,High,Moderate,Low,Expert
R118,S108,C002,M004,The course content was very informative and the mentor explained clearly.,Data Science Fundamentals,Mr. L. Das,High,Moderate,High,Beginner
R119,S131,C004,M002,I didn’t learn as much as I expected.,Machine Learning Basics,Prof. S. Mehta,Medium,Difficult,Low,Intermediate
R120,S133,C002,M001,Mentor explained well but the pace was a bit slow.,Data Science Fundamentals,Dr. A. Kumar,Medium,Moderate,Medium,Expert
R121,S119,C003,M005,I didn’t learn as much as I expected.,Web Development,Dr. V. Rao,High,Difficult,Medium,Expert
R122,S123,C003,M005,Highly recommended! The course structure is great.,Web Development,Dr. V. Rao,High,Moderate,Medium,Expert
R123,S116,C005,M004,Mentor explained well but the pace was a bit slow.,Deep Learning Advanced,Mr. L. Das,Low,Moderate,Low,Beginner
R124,S125,C004,M002,"Some topics were covered in depth, others were rushed.",Machine Learning Basics,Prof. S. Mehta,Medium,Easy,Low,Intermediate
R125,S107,C004,M001,"Too theoretical, needs more practical examples.",Machine Learning Basics,Dr. A. Kumar,High,Moderate,Low,Expert
R126,S142,C002,M001,Mentor did not respond to questions effectively.,Data Science Fundamentals,Dr. A. Kumar,Medium,Moderate,Medium,Expert
R127,S122,C005,M004,Very basic and not engaging enough.,Deep Learning Advanced,Mr. L. Das,Medium,Difficult,High,Beginner
R128,S105,C002,M003,"Good, but not much interaction from the mentor.",Data Science Fundamentals,Ms. R. Sharma,Low,Difficult,Low,Expert
R129,S146,C001,M004,"The course was okay, but could use more real-world examples.",Python for Beginners,Mr. L. Das,Low,Difficult,Medium,Beginner
R130,S104,C003,M003,The course content was very informative and the mentor explained clearly.,Web Development,Ms. R. Sharma,Medium,Moderate,Low,Expert
R131,S144,C002,M002,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Prof. S. Mehta,Low,Easy,High,Intermediate
R132,S132,C005,M002,"Good, but not much interaction from the mentor.",Deep Learning Advanced,Prof. S. Mehta,Low,Moderate,High,Intermediate
R133,S101,C004,M003,"Some topics were covered in depth, others were rushed.",Machine Learning Basics,Ms. R. Sharma,High,Difficult,Low,Expert
R134,S138,C003,M004,Highly recommended! The course structure is great.,Web Development,Mr. L. Das,High,Moderate,Medium,Beginner
R135,S131,C001,M002,Mentor explained well but the pace was a bit slow.,Python for Beginners,Prof. S. Mehta,Medium,Difficult,Medium,Intermediate
R136,S119,C001,M004,I didn’t learn as much as I expected.,Python for Beginners,Mr. L. Das,Medium,Easy,High,Beginner
R137,S148,C004,M003,The course lacked structure and was hard to follow.,Machine Learning Basics,Ms. R. Sharma,Low,Difficult,Medium,Expert
R138,S144,C002,M001,Excellent teaching style and very interactive sessions.,Data Science Fundamentals,Dr. A. Kumar,High,Difficult,Low,Expert
R139,S124,C002,M001,"Some topics were covered in depth, others were rushed.",Data Science Fundamentals,Dr. A. Kumar,Medium,Moderate,High,Expert
R140,S135,C003,M005,Mentor explained well but the pace was a bit slow.,Web Development,Dr. V. Rao,High,Moderate,Low,Expert
R141,S119,C003,M001,"Some topics were covered in depth, others were rushed.",Web Development,Dr. A. Kumar,Medium,Easy,Low,Expert
R142,S136,C003,M001,Highly recommended! The course structure is great.,Web Development,Dr. A. Kumar,Medium,Easy,Medium,Expert
R143,S144,C003,M005,The course lacked structure and was hard to follow.,Web Development,Dr. V. Rao,Medium,Difficult,Medium,Expert
R144,S140,C005,M003,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Ms. R. Sharma,High,Easy,High,Expert
R145,S120,C004,M001,Highly recommended! The course structure is great.,Machine Learning Basics,Dr. A. Kumar,Low,Easy,Low,Expert
R146,S116,C005,M002,"Some topics were covered in depth, others were rushed.",Deep Learning Advanced,Prof. S. Mehta,Medium,Moderate,Medium,Intermediate
R147,S148,C002,M004,"Too theoretical, needs more practical examples.",Data Science Fundamentals,Mr. L. Das,High,Easy,Medium,Beginner
R148,S118,C001,M003,Very basic and not engaging enough.,Python for Beginners,Ms. R. Sharma,Low,Moderate,Medium,Expert
R149,S144,C003,M005,Loved the examples and the mentor’s expertise really shows.,Web Development,Dr. V. Rao,High,Moderate,Low,Expert
R150,S108,C004,M001,"Content was decent, not too exciting though.",Machine Learning Basics,Dr. A. Kumar,High,Easy,High,Expert
R151,S104,C003,M002,"Too theoretical, needs more practical examples.",Web Development,Prof. S. Mehta,Low,Difficult,Low,Intermediate
R152,S114,C002,M003,Mentor was very supportive and responded quickly.,Data Science Fundamentals,Ms. R. Sharma,Low,Difficult,Low,Expert
R153,S135,C003,M002,Mentor explained well but the pace was a bit slow.,Web Development,Prof. S. Mehta,Low,Difficult,Low,Intermediate
R154,S116,C005,M003,The course content was very informative and the mentor explained clearly.,Deep Learning Advanced,Ms. R. Sharma,Low,Easy,Medium,Expert
R155,S134,C001,M001,Excellent teaching style and very interactive sessions.,Python for Beginners,Dr. A. Kumar,Medium,Moderate,Medium,Expert
R156,S133,C002,M005,"Too theoretical, needs more practical examples.",Data Science Fundamentals,Dr. V. Rao,Low,Difficult,High,Expert
R157,S102,C001,M004,I didn’t learn as much as I expected.,Python for Beginners,Mr. L. Das,Medium,Moderate,High,Beginner
R158,S129,C001,M001,Highly recommended! The course structure is great.,Python for Beginners,Dr. A. Kumar,Medium,Difficult,Low,Expert
R159,S141,C005,M005,Excellent teaching style and very interactive sessions.,Deep Learning Advanced,Dr. V. Rao,High,Moderate,Medium,Expert
R160,S133,C005,M004,"Too theoretical, needs more practical examples.",Deep Learning Advanced,Mr. L. Das,Low,Difficult,Low,Beginner
R161,S114,C004,M004,"Too theoretical, needs more practical examples.",Machine Learning Basics,Mr. L. Das,Low,Moderate,Medium,Beginner
R162,S107,C003,M004,"Some topics were covered in depth, others were rushed.",Web Development,Mr. L. Das,Medium,Difficult,Medium,Beginner
R163,S131,C001,M001,Mentor explained well but the pace was a bit slow.,Python for Beginners,Dr. A. Kumar,Low,Easy,Medium,Expert
R164,S136,C001,M005,Loved the examples and the mentor’s expertise really shows.,Python for Beginners,Dr. V. Rao,High,Difficult,Medium,Expert
R165,S143,C004,M001,The course lacked structure and was hard to follow.,Machine Learning Basics,Dr. A. Kumar,Medium,Difficult,Medium,Expert
